num,path,answer,description,explanation

1,images/IMG_5719.jpg,Echinostoma malayanum / Echinostoma revolutum,,

2,images/IMG_5720.jpg,Angiostrongylus cantonensis,,為雌性，有理髮廳標誌

3,images/IMG_5721.jpg,Schistosoma mansoni,,有側刺

4,images/IMG_5722.jpg,Giardia lamblia / Giardia lamblia cyst,,

5,images/IMG_5723.jpg,Diphyllobothrium latum,,花瓣狀子宮

6,images/IMG_5724.jpg,Spirometra mansoni,,

7,images/IMG_5725.jpg,Entamoeba coli,,

8,images/IMG_5726.jpg,Taenia saginata,,

9,images/IMG_5727.jpg,Schistosoma japonicum,,

10,images/IMG_5728.jpg,Toxocara canis / Toxocara cati,,

11,images/IMG_5729.jpg,Fasciola hepatica,,

12,images/IMG_5730.jpg,Necator americanus / Ancylostoma duodenale,,中小型蟲卵、卵殼薄、卵兩端較圓鈍

13,images/IMG_5731.jpg,Ancylostoma duodenale,,兩分岔交尾刺

14,images/IMG_5732.jpg,假葉目 / 擬葉目 / Pseudophyllidea,,生殖孔位於中間

15,images/IMG_5733.jpg,Enterobius vermicularis,,D型卵。

16,images/IMG_5734.jpg,Trypanosoma cruzi,,

17,images/IMG_5735.jpg,Capillaria philippinensis,,有兩個透明卵塞、卵殼有紋路、有腰身。

18,images/IMG_5736.jpg,Entamoeba coli,有大於四個核,

19,images/IMG_5737.jpg,Hymenolepis nana / Hymenolepis diminuta,,成熟體節有三個睪丸、兩個在右一個在左、生殖孔皆在左邊

20,images/IMG_5738.jpg,Acanthamoeba culbertsoni / Acanthamoeba castellanii,（08考古給的學名和09不一樣，但現在更新了09給的學名）,

21,images/IMG_5739.jpg,bed bug / 臭蟲,,六隻腳、腳無鉤

22,images/IMG_5740.jpg,Ancylostoma caninum,,口部有三對腹齒

23,images/IMG_5741.jpg,Enterobius vermicularis,,具有頭翼與食道球

24,images/IMG_5742.jpg,Clonorchis sinensis,,沼螺(口有薄膜)

25,images/IMG_5743.jpg,Dipylidium caninum,,每一個體節有兩套生殖系統和兩套生殖孔

26,images/IMG_5744.jpg,Trichinella spiralis,,

27,images/IMG_5745.jpg,Schistosoma haematobium,,大型蟲卵、無卵蓋、有小小的尾刺

28,images/IMG_5746.jpg,Heterophyes heterophyes,,有三個吸盤，身體後端有兩個上下斜列之圓形睪丸

29,images/IMG_5747.jpg,tick / 蜱,,

30,images/IMG_5748.jpg,Trichomonas vaginalis / Trichomonas vaginalis trophozoite,,

31,images/IMG_5749.jpg,Echinostoma malayanum / Echinostoma revolutum,,

32,images/IMG_5750.jpg,Diphyllobothrium latum,,

33,images/IMG_5751.jpg,Dirofilaria immitis,寫出人不是FH的線蟲,

34,images/IMG_5752.jpg,Iodamoeba butschlii / Iodamoeba buetschlii,,Mature cyst指有一個細胞核，核內的Karyosome大。另有一個很大的glycogen vacuole。細胞核沒有核周染色質。

35,images/IMG_5753.jpg,Ascaris lumbricoides,,

36,images/IMG_5754.jpg,Paragonimus westermani,,

37,images/IMG_5755.jpg,Plasmodium malariae,,

38,images/IMG_5756.jpg,Ancylostoma ceylanicum,,一大一小的兩對腹齒，像鳥嘴。

39,images/IMG_5757.jpg,蟎 / mite,,8隻腳

40,images/IMG_5758.jpg,Trypanosoma cruzi / Leishmania donovani / Trypanosoma cruzi amastigote / Leishmania donovani amastigote,寫出生物學名,有大點與小點，分別是細胞核（nucleus）與動基體（kinetoplast）

41,images/IMG_5759.jpg,Fasciolopsis buski,,像是石蓮的葉子，比牛羊肝吸蟲厚

42,images/IMG_5760.jpg,Brugia malayi / Brugia malayi microfilaria,,

43,images/IMG_5761.jpg,Dracunculus medinensis,請寫出<b>人是FH</b>的<b>線蟲</b>,"""Gnathostoma spinigerum（人是IH的線蟲）", Dracunculus medinensis（人是FH的線蟲）, Diphylobothrium latum（人是FH的絛蟲）," Spirometra mansoni（人是IH的絛蟲）"""

44,images/IMG_5762.jpg,Hymenolepis diminuta,殼有橫紋,卵殼有紋路、有玻璃樣物質、內含物為六鉤幼蟲、胎蟲被殼的兩端有突起但沒有極絲。

45,images/IMG_5763.jpg,Dipylidium caninum,,包著多個蟲卵的卵囊

46,images/IMG_5764.jpg,Taenia saginata,,

47,images/IMG_5765.jpg,Trichuris trichiura,,

48,images/IMG_5766.jpg,陰蝨,,螃蟹狀，腳的末端有鉤

49,images/IMG_5767.jpg,Paragonimus westermani,,卵殼不均勻增厚，卵蓋對側有增厚

50,images/IMG_5768.jpg,Necator americanus,,一對切板

51,images/IMG_5769.jpg,跳蚤 / flea,,

52,images/IMG_5770.jpg,Fasciolopsis buski,,扁蜷

53,images/IMG_5771.jpg,Blastocystis hominis,,

54,images/IMG_5772.jpg,Schistosoma japonicum,,釘螺

55,images/IMG_5773.jpg,Taenia solium / Taenia saginata,,

56,images/IMG_5774.jpg,Taenia solium / Taenia saginata,,胎蟲胚殼厚、似輪胎、內含六鉤幼蟲

57,images/IMG_5775.jpg,Endolimax nana,四個核,Mature cyst大部分有四個核，細胞核沒有核周染色質，看起來為四個小點

58,images/IMG_5776.jpg,Raillietina celebensis,,受孕體節似米粒

59,images/IMG_5777.jpg,Trichuris trichiura,,

60,images/IMG_5778.jpg,Schistosoma haematobium,,圖中為唯一左旋的水泡螺

61,images/IMG_5779.jpg,Ancylostoma duodenale,,兩對大小差不多的腹齒

62,images/IMG_5780.jpg,Dicrocoelium dendriticum,,唯一睪丸在身體前方的吸蟲，兩個睪丸位於腹吸盤與卵巢之間

63,images/IMG_5781.jpg,Strongyloides stercoralis,,有生殖原基

64,images/IMG_5782.jpg,Angiostrongylus cantonensis,這是哪隻寄生蟲的IH？,圖中為蛞蝓，為廣東血線蟲的IH

65,images/IMG_5783.jpg,Hymenolepis nana,,

66,images/IMG_5784.jpg,Plasmodium falciparum,,

67,images/IMG_5785.jpg,Clonorchis sinensis,,有肩膀(花瓶)

68,images/IMG_5786.jpg,Entamoeba histolytica,,具核周染色質（karyosome在核的中心），可見吞噬的紅血球（深色點），唯一吞噬紅血球的Entamoeba為Entamoeba histolytica

69,images/IMG_5787.jpg,Toxoplasma gondii / Toxoplasma gondii tachyzoite,,

70,images/IMG_5788.jpg,Taenia solium,,四個吸盤，額嘴上有鉤，為有鉤絛蟲

71,images/IMG_5789.jpg,Isospora belli / Cystoisospora belli,,此為Mature oocyst，內有兩個Sporocyst

72,images/IMG_5790.jpg,Heterophyes heterophyes / Metagonimus yokogawai,,小型卵（與指針大小比較），有卵蓋，但卵蓋與卵身交界處不明顯

73,images/IMG_5791.jpg,Balantidium coli / Balantidium coli trophozoite,,腎形核

74,images/IMG_5792.jpg,Capillaria hepatica,,

75,images/IMG_5793.jpg,Trichostrongylus orientalis,,殼薄類似鉤蟲卵，但東方毛線蟲卵一端較尖

76,images/IMG_5794.jpg,Armillifer agkistrodontis,,

77,images/IMG_5795.jpg,Gnathostoma spinigerum,,

78,images/IMG_5796.jpg,Plasmodium ovale,,

79,images/IMG_5797.jpg,Giardia lamblia,,

80,images/IMG_5798.jpg,Trypanosoma brucei gambiense / Trypanosoma brucei rhodesiense / Trypanosoma brucei gambiense trypomastigote / Trypanosoma brucei rhodesiense trypomastigote / Trypanosoma gambiense / Trypanosoma rhodesiense / Trypanosoma gambiense trypomastigote / Trypanosoma rhodesiense trypomastigote,,

81,images/Diphyllobothrium latum-2.jpg,Diphyllobothrium latum,,中型蟲卵、卵殼兩端較圓鈍、卵蓋對面有時候會有小結節。

82,images/Paragonimus westermani-2.jpg,Paragonimus westermani,,

83,images/Hookworm-2.jpg,Necator americanus / Ancylostoma duodenale,,中小型蟲卵、卵殼薄、卵的兩端圓鈍。

84,images/Echinostoma malayanum-1.jpg,Echinostoma malayanum / Echinostoma revolutum,,

85,images/Fasciolopsis buski-1.jpg,Fasciola hepatica / Fasciolopsis buski,,

86,images/heterophyes.jpg,Heterophyes heterophyes,,有三個吸盤、身體後端有兩個上下斜列的圓形睪丸。

87,images/trichruis_adult.jpg,Trichuris trichiura / Trichuris trichiura adult,,

88,images/cysticercus.jpg,Taenia solium / Taenia saginata / Taenia solium cysticercus / Taenia saginata cysticercus,,牛肉絛蟲和豬肉絛蟲的cysticercus，長得像是西米露

89,images/c_sinensis.jpg,Clonorchis sinensis,,

90,images/s_haematobium.jpg,Schistosoma haematobium,,睪丸有4~5粒

91,images/ancylostoma_caninum.jpg,Ancylostoma caninum,,口部有三對腹齒

92,images/ss_f-form.jpg,Strongyloides stercoralis,,

93,images/brugia-malayi.jpg,Brugia malayi,,有鞘（sheath）、身體末端有兩個明顯的尾核、身體的核較緊密

94,./images/IM-0000.jpg,Gnathostoma spinigerum,,具有頭球且頭球上有鉤，大於4排者為成蟲，小於4排者為幼蟲

95,./images/IM-0001.jpg,Echinococcus granulosus,,僅具有未成熟體節、成熟體節、受孕體節。

96,./images/IM-0002.jpg,Ascaris lumbricoides,,

97,./images/IM-0003.jpg,Diphyllobothrium latum,,

98,./images/IM-0004.jpg,Metagonimus yokogawai,,有生殖腹吸盤，身體後端有兩個上下斜列之圓形睪丸

99,./images/IM-0005.jpg,Schistosoma japonicum,,睪丸7粒，此為雄蟲（有抱雌鉤）。

100,./images/IM-0006.jpg,Taenia saginata,,單側子宮分支數>15

101,./images/IM-0007.jpg,Paragonimus westermani,,六指狀ovary

102,./images/IM-0008.jpg,Necator americanus,,口部一對腹齒板

103,./images/IM-0009.jpg,圓葉目絛蟲 / 圓葉目,這是圓葉目絛蟲還是擬葉目絛蟲？,生殖孔在體節側面

104,./images/IM-0010.jpg,Fasciola hepatica,,頭錐

105,./images/IM-0011.jpg,Hymenolepis nana / Hymenolepis diminuta,,三顆睪丸的絛蟲

106,./images/IM-0012.jpg,Ancylostoma ceylanicum,,口部有兩對腹齒，一大一小

107,./images/IM-0013.jpg,Ancylostoma duodenale,,

108,./images/IM-0014.jpg,Fasciolopsis buski,這是誰的中間宿主？,

109,./images/IM-0015.jpg,Clonorchis sinensis,這是誰的中間宿主？,沼螺、開口處有膜

110,./images/IM-0016.jpg,Angiostrongylus cantonensis,這是誰的中間宿主？,圖中為蛞蝓，為廣東血線蟲的IH

111,./images/IM-0017.jpg,Schistosoma japonicum,這是誰的中間宿主？,釘螺

112,./images/IM-0018.jpg,Paragonimus westermani,,

113,./images/IM-0019.jpg,Fasciola hepatica / Echinostoma revolutum / Echinostoma malayanum,寫出一種以它為中間宿主的蟲？,錐實螺的特徵為最後一圈很大。

114,./images/IM-0020.jpg,Schistosoma haematobium,,水泡螺（本次唯一的左旋螺）

115,./images/IM-0021.jpg,Paragonimus westermani,,

116,./images/IM-0022.jpg,Angiostrongylus cantonensis,,非洲大蝸牛

117,./images/IM-0023.jpg,Echinostoma malayanum / Echinostoma revolutum,,蜆為棘口吸蟲之中間宿主

118,./images/IM-0024.jpg,Gnathostoma spinigerum / Dracunculus medinensis / Diphyllobothrium latum / Spirometra mansoni,寫出一種以它為中間宿主的蟲？,圖中為劍水蚤

119,,Wuchereria bancrofti / Brugia malayi / Brugia timori / Dirofilaria immitis,寫出一種以蚊子為中間宿主的蟲？,

120,,fly / 蒼蠅,寫出Thelazia callipaeda 的中間宿主？（可寫中文）,

121,./images/IM-0025.jpg,Paragonimus westermani,,

122,,狗蚤 / 貓蚤 / 狗蝨 / dog flea / Dog flea / Cat flea / cat flea,寫出一種Dipylidium caninum 的中間宿主？（可寫中文）（這題沒圖片）,

123,./images/IM-0026.jpg,Fasciolopsis buski,,扁蜷

124,./images/IM-0027.jpg,Trypanosoma cruzi / Trypanosoma cruzi amastigote / Leishmania donovani / Leishimania donovani amastigote,,

125,./images/IM-0028.jpg,Toxoplasma gondii / Toxoplasma gondii tachyzoite,,

126,./images/IM-0029.jpg,Cystoisospora belli mature oocyst / Cystoisospora belli oocyst / Cystoisospora belli / Isospora belli mature oocyst / Isospora belli oocyst / Isospora belli,,

127,./images/IM-0030.jpg,Plasmodium ovale / Plasmodium ovale trophozoite,,

128,./images/IM-0031.jpg,Giardia lamblia / Giardia lamblia cyst,,可見median bodies 及axonemes

129,images/Plasmodium_falcipurum_gameto100x.jpg,Plasmodium falciparum / Plasmodium falciparum gametocyte,,

130,./images/IM-0032.jpg,Plasmodium malariae / Plasmodium malariae schizont,,通常含8個merozoites

131,images/C_belli_spore_wtmt1.jpg,Cystoisospora belli immature oocyst / Cystoisospora belli oocyst / Cystoisospora belli / Isospora belli immature oocyst / Isospora belli oocyst / Isospora belli,,

132,./images/IM-0033.jpg,Plasmodium malariae / Plasmodium malariae trophozoite,,紅血球沒有脹大，Late trophozoite常見Band from，沒有許氏點

133,./images/IM-0034.jpg,Entamoeba coli / Entamoeba coli trophozoite,,Karyosome在核的中心偏側邊

134,./images/IM-0035.jpg,Iodamoeba butschlii cyst / Iodamoeba buetschlii cyst / Iodamoeba butschlii / Iodamoeba buetschlii,,Mature cyst指有一個細胞核，核內的Karyosome大。另有一個很大的glycogen vacuole。細胞核沒有核周染色質。

135,./images/IM-0036.jpg,Giardia lamblia / Giardia lamblia trophozoite,,2核（陰道滴蟲4核）

136,./images/IM-0037.jpg,Trypanosoma cruzi trypomastigote / Trypanosoma cruzi,,可以看到nucleus和kinetoplast兩個點，具有波動膜

137,./images/IM-0038.jpg,Plasmodium vivax / Plasmodium vivax trophozoite,,ameboid form

138,./images/IM-0039.jpg,Trichomonas vaginalis / Trichomonas vaginalis trophozoite,,有一明顯軸柱（axostyle）、有波動膜（約身體1/3長）、有一個細胞核、身體有四根前鞭毛與一根向後的鞭毛。

139,./images/IM-0040.jpg,Entamoeba histolytica / Entamoeba histolytica cyst,,Mature cyst大部分有4個細胞核、有核周染色質（peripheral chromain）、細胞內沒有髒線

140,./images/IM-0041.jpg,Trypanosoma brucei gambiense / Trypanosoma brucei rhodesiense / Trypanosoma brucei gambiense trypomastigote / Trypanosoma brucei rhodesiense trypomastigote / Trypanosoma gambiense / Trypanosoma rhodesiense / Trypanosoma gambiense trypomastigote / Trypanosoma rhodesiense trypomastigote,,

141,./images/IM-0042.jpg,Balantidium coli / Balantidium coli cyst,,具有腎臟形的大核

142,./images/IM-0043.jpg,Acanthamoeba culbertsoni / Acanthamoeba castellanii / Acanthamoeba castellanii trophozoite,,"""單核"," karyosome巨大，有棘狀偽足。"""

143,./images/IM-0044.jpg,Entamoeba histolytica / Entamoeba histolytica trophozoite,,

144,./images/IM-0045.jpg,Endolimax nana / Endolimax nana cyst,,

145,./images/IM-0046.jpg,蟎 / 疥蟎 / Mite / mite / itch mite / Itch mite,這是什麼？（可寫中文）,

146,./images/IM-0047.jpg,頭蝨 / 體蝨 / Human head louse,這是什麼？（可寫中文）,

147,./images/IM-0048.jpg,Armillifer agkistrodontis / Armillifer agkistrodontis adult / Armillifer agkistrodontis female adult / Armillifer agkistrodontis 成蟲 / Armillifer agkistrodontis 雌成蟲,,

148,./images/IM-0049.jpg,tick / 蜱 / Tick,這是什麼？（可寫中文）,

149,./images/IM-0050.jpg,Armillifer agkistrodontis / Armillifer agkistrodontis larva / Armillifer agkistrodontis 幼蟲,,

150,./images/IM-0051.jpg,Leech / 水蛭 / 山蛭 / 蛭 / leech,這是什麼？（可寫中文）,

151,./images/IM-0052.jpg,陰蝨 / crab louse,這是什麼？（可寫中文）,

152,./images/IM-0053.jpg,臭蟲 / bed bug / Bed bug,這是什麼？（可寫中文）,

153,./images/IM-0054.jpg,Ctenocephalides spp. / 跳蚤 / 人蚤 / 貓蚤 / 狗蚤 / Pulex irritans / flea / Flea,這是什麼？（可寫中文）,

154,images/hookworm-f-form.jpg,Necator americanus / Ancylostoma duodenale / Necator americanus  F-form larva / Ancylostoma duodenale F-form larva,,

155,images/trichuris-female.jpg,Trichuris trichiura / Trichuris trichiura female adult,,

156,images/trichuris-male.jpg,Trichuris trichiura / Trichuris trichiura male adult,,

157,images/ascaris-egg.jpg,Ascaris lumbricoides,,長橢圓形，卵殼比受精蛔蟲卵薄、卵細胞與卵殼之間沒有空隙

158,images/fasciola-egg.jpg,Fasciola hepatica / Fasciolopsis buski,,

159,images/hookworm-r-form.jpg,Necator americanus / Ancylostoma duodenale / Necator americanus  R-form larva / Ancylostoma duodenale R-form larva,,口腔深度 : 體寬 = 1:1

160,images/ss-f-form.jpg,Strongyloides stercoralis / Strongyloides stercoralis F-form larva,,無鞘

161,./images/IM-0055.jpg,雜質,,沒有內涵物

162,images/ac-snail.jpg,Angiostrongylus cantonensis,,非洲大蝸牛

163,images/ac-snail2.jpg,Angiostrongylus cantonensis,,

164,images/heter-egg.jpg,Metagonimus yokogawai / Heterophyes heterophyes,,小型蟲卵、有卵蓋、卵殼沒有紋路、沒有肩膀

165,images/heter-egg2.jpg,Metagonimus yokogawai / Heterophyes heterophyes,,小型蟲卵、有卵蓋、卵殼沒有紋路、沒有肩膀

166,images/ancly-can.jpg,Ancylostoma caninum,,口部有三對腹齒

167,images/ss-r-form.jpg,Strongyloides stercoralis / Strongyloides stercoralis R-form larva,,

168,images/wb.jpg,Wuchereria bancrofti,,

169,images/taenia-egg.jpg,Taenia solium / Taenia saginata,,

170,images/taenia-egg2.jpg,Taenia solium / Taenia saginata,,胎蟲胚殼厚、似輪胎、內含六鉤幼蟲

171,images/ac-snail3.jpg,Angiostrongylus cantonensis,,圓田螺

172,images/pw-egg.jpg,Paragonimus westermani,,

173,images/al-adult.jpg,Ascaris lumbricoides,,

174,./images/IM-0056.jpg,Angiostrongylus cantonensis,,

175,images/cp-female.jpg,Capillaria philippinensis / Capillaria philippinensis female adult,,

176,images/pw.jpg,Paragonimus westermani,,有一個口吸盤和腹吸盤、身體呈短橢圓形、卵巢成六指狀分枝

177,images/fh.jpg,Fasciola hepatica,,

178,images/ev-egg.jpg,Enterobius vermicularis,,

179,images/cs.jpg,Clonorchis sinensis,,上下排列、分枝狀的睪丸超出腸子。

180,images/ch-egg.jpg,Capillaria hepatica,,

181,images/spirometra-egg.jpg,Spirometra mansoni,,卵殼兩端較尖，卵殼不對稱

182,images/t-ori-egg.jpg,Trichostrongylus orientalis,,

183,images/al-egg-fer.jpg,Ascaris lumbricoides,,

184,images/al-egg-fer-2.jpg,Ascaris lumbricoides,,

185,images/fasciolopsis.jpg,Fasciolopsis buski,,

186,images/sj-egg.jpg,Schistosoma japonicum,,大型蟲卵，無卵蓋，圓形或橢圓形

187,images/trichinella-cyst.jpg,Trichinella spiralis / Trichinella spiralis encysted larva,,

188,images/cp-egg.jpg,Capillaria philippinensis,,有卵塞，花生狀，卵殼有橫紋

189,images/anal-swab.jpg,Enterobius vermicularis,,

190,images/ev-egg-2.jpg,Enterobius vermicularis,,中小型蟲卵、卵殼不對稱（一邊平、一邊彎曲）

191,images/trichruis-egg.jpg,Trichuris trichiura,,中型蟲卵、啤酒桶形、兩個透明栓塞、卵殼較厚、卵殼沒有紋路、被膽汁染色則呈黃褐色

192,images/hookworm-egg.jpg,Necator americanus / Ancylostoma duodenale,,

193,images/hookworm-egg-2.jpg,Necator americanus / Ancylostoma duodenale,,

194,images/hookworm-egg-3.jpg,Necator americanus / Ancylostoma duodenale,,中小型蟲卵、卵殼薄、卵兩端較圓鈍

195,images/na.jpg,Necator americanus,,口部有一對腹齒板

196,images/ac-ih.jpg,Angiostrongylus cantonensis,,圖中為蛞蝓，為廣東血線蟲的IH

197,./images/IM-0057.jpg,雜質,,內容物不是卵或幼蟲。

198,images/echio-egg.jpg,Echinostoma malayanum / Echinostoma revolutum,,大型蟲卵、有卵蓋、卵蓋對面的卵殼會有實心增厚

199,images/sm-egg.jpg,Schistosoma mansoni,,大型蟲卵、無卵蓋、有側刺

200,images/cp-male.jpg,Capillaria philippinensis / Capillaria philippinensis male adult,,

201,images/d-latum-egg.jpg,Diphyllobothrium latum,,中型蟲卵、卵殼兩端較圓鈍、卵蓋對面有時候會有小結節。

202,images/d-latum-egg-2.jpg,Diphyllobothrium latum,,中型蟲卵、卵殼兩端較圓鈍、卵蓋對面有時候會有小結節。

203,images/h-nana-egg.jpg,Hymenolepis nana,,

204,images/al-egg-fer-3.jpg,Ascaris lumbricoides,,

205,images/al-egg-fer-4.jpg,Ascaris lumbricoides,,

206,images/t-spiral-female.jpg,Trichinella spiralis / Trichinella spiralis female adult,,

207,images/h-diminuta-egg.jpg,Hymenolepis diminuta,,

208,images/a-duo-male.jpg,Ancylostoma duodenale / Ancylostoma duodenale male adult,,

209,images/a-cey.jpg,Ancylostoma ceylanicum,,

210,images/e-rev.jpg,Echinostoma revolutum,,睪丸呈圓形，上下排列

211,images/e-malay.jpg,Echinostoma malayanum,,睪丸呈樹枝狀/花瓣狀，上下排列

212,images/echinostoma-head.jpg,Echinostoma malayanum / Echinostoma revolutum,,口吸盤附近有排列成馬蹄形的棘

213,images/m-yoko.jpg,Metagonimus yokogawai,,

214,images/sj.jpg,Schistosoma japonicum,,

215,images/s-mansoni.jpg,Schistosoma mansoni,,

216,images/s-haema.jpg,Schistosoma haematobium,,

217,images/pw-1.jpg,Paragonimus westermani,,

218,images/pw-2.jpg,Paragonimus westermani,,

219,images/fasciolopsis-2.jpg,Fasciolopsis buski,,像是石蓮的葉子，比牛羊肝吸蟲還要厚。

220,images/fasciolopsis-3.jpg,Fasciolopsis buski,,像是石蓮的葉子，比牛羊肝吸蟲還要厚。

221,images/fasciola.jpg,Fasciola hepatica,,薄，有頭錐。

222,images/c-sinensis.jpg,Clonorchis sinensis,,

223,images/pw-ih.jpg,Paragonimus westermani,,

224,./images/IM-0058.jpg,Fasciolopsis buski,,荸薺

225,./images/IM-0059.jpg,Paragonimus westermani / Metagonimus yokogawai,,川蜷

226,./images/IM-0060.jpg,Paragonimus westermani / Metagonimus yokogawai,,瘤蜷

227,./images/IM-0061.jpg,Fasciola hepatica / Echinostoma revolutum / Echinostoma malayanum,,錐實螺

228,./images/IM-0062.jpg,Fasciolopsis buski,,

229,./images/IM-0063.jpg,Heterophyes heterophyes,,圖片中為錐形小塔螺

230,./images/IM-0064.jpg,Schistosoma japonicum,,圖片中為釘螺（很小很小）

231,./images/IM-0065.jpg,Schistosoma mansoni,,圖片中為雙臍螺

232,./images/IM-0066.jpg,Schistosoma haematobium,,圖中為本學期唯一一隻左旋螺：水泡螺

233,./images/IM-0067.jpg,假葉目 / 假葉目絛蟲 / 擬葉目 / 擬葉目絛蟲,這是圓葉目絛蟲還是擬葉目絛蟲？,

234,./images/IM-0068.jpg,圓葉目 / 圓葉目絛蟲,這是圓葉目絛蟲還是擬葉目絛蟲？,

235,images/cysticercus-1.jpg,Taenia solium / Taenia saginata / Taenia solium cysticercus / Taenia saginata cysticercus,,

236,images/cysticercus-2.jpg,Taenia solium / Taenia saginata / Taenia solium cysticercus / Taenia saginata cysticercus,,

237,images/cysticercus-3.jpg,Taenia solium / Taenia saginata / Taenia solium cysticercus / Taenia saginata cysticercus,,Cysticercus約一公分大小，橢圓形，內有一個頭節

238,images/cysticercus-4.jpg,Taenia solium / Taenia saginata / Taenia solium cysticercus / Taenia saginata cysticercus,,Cysticercus約一公分大小，橢圓形，內有一個頭節

239,images/e-g-protoscolex.jpg,Echinococcus granulosus / Echinococcus granulosus protoscolex,,

240,images/e-g-protoscolex-2.jpg,Echinococcus granulosus / Echinococcus granulosus protoscolex,,

241,images/pseudophyllidea.jpg,Diphyllobothrium latum / Spirometra mansoni,,具有吸溝為重要判斷方式。

242,images/taeni-solium.jpg,Taenia solium,,

243,images/taeni-sagi.jpg,Taenia saginata,,

244,images/h-nana.jpg,Hymenolepis nana,,明顯的脖子

245,images/h-diminuta.jpg,Hymenolepis diminuta,,有吸盤、額嘴退化、看起來沒有脖子

246,images/dipy.jpg,Dipylidium caninum,,頭節前端有兩排（圈）以上的鉤。筆者不負責任地認為可以想成有鉤的Hymenolepis nana頭節。

247,images/r-cele.jpg,Raillietina celebensis,,頭節有一根一根像棉花棒的鈎

248,images/d-latum.jpg,Diphyllobothrium latum,,花瓣狀子宮

249,images/spirometra.jpg,Spirometra mansoni,,

250,images/taenia-solium.jpg,Taenia solium,,單側子宮分枝數小於13

251,images/dipy-segment.jpg,Dipylidium caninum,,每一個體節有兩套生殖系統和兩套生殖孔

252,images/bal-coli-cyst.jpg,Balantidium coli / Balantidium coli cyst,,腎形核

253,images/gl-tro.jpg,Giardia lamblia / Giardia lamblia trophozoite,,

254,images/gb-cyst.jpg,Giardia lamblia / Giardia lamblia cyst,,Mature cyst有四個細胞核、細胞質內有髒線

255,images/t-vaginalis-tro.jpg,Trichomonas vaginalis / Trichomonas vaginalis trophozoite,,深色明顯軸柱，具波動膜（體長1/3），4根前鞭毛，一根向後鞭毛

256,images/t-brucei-trypo.jpg,Trypanosoma brucei gambiense / Trypanosoma brucei rhodesiense / Trypanosoma brucei gambiense trypomastigote / Trypanosoma brucei rhodesiense trypomastigote / Trypanosoma gambiense / Trypanosoma rhodesiense / Trypanosoma gambiense trypomastigote / Trypanosoma rhodesiense trypomastigote,,

257,images/t-cruzi-trypo.jpg,Trypanosoma cruzi / Trypanosoma cruzi trypomastigote,,kinetoplast明顯

258,images/toxoplamsa-tachy.jpg,Toxoplasma gondii / Toxoplasma gondii tachyzoite,,

259,images/pf-ring-form.jpg,Plasmodium falciparum / Plasmodium falciparum trophozoite,,

260,images/p-vivax-amoeba-form.jpg,Plasmodium vivax / Plasmodium vivax trophozoite,,

261,images/p-ovale.jpg,Plasmodium ovale / Plasmodium ovale trophozoite,,

262,images/e-h-cyst.jpg,Entamoeba histolytica / Entamoeba histolytica cyst,4個核,Mature cyst大部分有4個細胞核、有核周染色質（peripheral chromain）、細胞內沒有髒線

263,images/ent-coli-cyst.jpg,Entamoeba coli / Entamoeba coli cyst,8個核,Mature cyst大部分有8個細胞核

264,images/e-nana-cyst.jpg,Endolimax nana / Endolimax nana cyst,4個核,

265,images/acanth.jpg,Acanthamoeba castellanii / Acanthamoeba castellanii trophozoite,,

266,images/blast-hom.jpg,Blastocystis hominis,,

267,images/leech.jpg,Leech / 水蛭 / 山蛭 / 蛭 / leech / land leech,,

